[(1, [61])]
         330309 function calls (319485 primitive calls) in 2.894 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1098    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap>:100(acquire)
    560/1    0.003    0.000    0.466    0.466 <frozen importlib._bootstrap>:1022(_find_and_load)
       24    0.000    0.000    0.012    0.001 <frozen importlib._bootstrap>:1038(_gcd_import)
   416/44    0.002    0.000    0.414    0.009 <frozen importlib._bootstrap>:1053(_handle_fromlist)
     1098    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap>:125(release)
      560    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:165(__init__)
      560    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap>:169(__enter__)
      560    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:173(__exit__)
     1098    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
      558    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:198(cb)
      538    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:216(_lock_unlock_module)
    659/1    0.001    0.000    0.465    0.465 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
     4970    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:254(_requires_builtin_wrapper)
      565    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:357(__init__)
      937    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap>:391(cached)
     1177    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:404(parent)
      518    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(has_location)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:421(spec_from_loader)
      470    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:48(_new_module)
      518    0.003    0.000    0.016    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
  518/506    0.001    0.000    0.055    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
    518/1    0.003    0.000    0.465    0.465 <frozen importlib._bootstrap>:664(_load_unlocked)
      558    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:71(__init__)
      549    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:746(find_spec)
       19    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:770(create_module)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:778(exec_module)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:795(is_package)
      530    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:826(find_spec)
     1609    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:893(__enter__)
     1609    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:897(__exit__)
      549    0.004    0.000    0.053    0.000 <frozen importlib._bootstrap>:921(_find_spec)
       24    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:968(_sanity_check)
    559/1    0.003    0.000    0.466    0.466 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
      454    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1040(__init__)
      454    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1065(get_filename)
      455    0.002    0.000    0.021    0.000 <frozen importlib._bootstrap_external>:1070(get_data)
        1    0.000    0.000    0.002    0.002 <frozen importlib._bootstrap_external>:1079(get_resource_reader)
      454    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1089(path_stats)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1094(_cache_bytecode)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1099(set_data)
       29    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1163(__init__)
       29    0.000    0.000    0.037    0.001 <frozen importlib._bootstrap_external>:1174(create_module)
    29/24    0.000    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:1182(exec_module)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1219(__init__)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1226(_find_parent_path_names)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1236(_get_parent_path)
     4730    0.004    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
     4730    0.005    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1304(exec_module)
      909    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
     1818    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
       42    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1343(_path_hooks)
      958    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1356(_path_importer_cache)
      530    0.003    0.000    0.044    0.000 <frozen importlib._bootstrap_external>:1399(_get_spec)
     2118    0.001    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
      530    0.001    0.000    0.045    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
       42    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1494(__init__)
      772    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      336    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1500(<genexpr>)
      483    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1531(_get_spec)
      849    0.009    0.000    0.038    0.000 <frozen importlib._bootstrap_external>:1536(find_spec)
       42    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1587(_fill_cache)
      713    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
       42    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1628(path_hook_for_FileFinder)
       59    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:164(_path_isdir)
      525    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:185(_write_atomic)
      908    0.004    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
      483    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:510(_get_cached)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:522(_calc_mode)
  455/453    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:542(_check_name_wrapper)
      454    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:585(_classify_pyc)
      454    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:618(_validate_timestamp_pyc)
      453    0.001    0.000    0.061    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:683(_code_to_timestamp_pyc)
      849    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
      483    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:721(spec_from_file_location)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:79(_pack_uint32)
